0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:53 -0700] "GET /e-Learning-System/css/morris.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:53 -0700] "GET /e-Learning-System/loginUsingRoleId HTTP/1.1" 405 1045
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:58 -0700] "GET /e-Learning-System/registerTrainerByAdmin HTTP/1.1" 200 19657
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:13:59 -0700] "GET /e-Learning-System/registerTrainerByAdmin HTTP/1.1" 200 19622
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:14:26 -0700] "GET /e-Learning-System/registerTrainerByAdmin HTTP/1.1" 200 21545
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:15:34 -0700] "GET /e-Learning-System/registerTrainerByAdmin HTTP/1.1" 200 21542
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:18:03 -0700] "GET /e-Learning-System/registerTrainerByAdmin HTTP/1.1" 200 22502
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:18:33 -0700] "GET /e-Learning-System/registerTrainerByAdmin HTTP/1.1" 200 22623
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:18:56 -0700] "GET /e-Learning-System/registerTrainerByAdmin HTTP/1.1" 200 22622
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:19:08 -0700] "GET /e-Learning-System/registerTrainerByAdmin HTTP/1.1" 200 22623
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:19:28 -0700] "GET /e-Learning-System/registerTrainerByAdmin HTTP/1.1" 200 22633
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:19:54 -0700] "GET /e-Learning-System/registerTrainerByAdmin HTTP/1.1" 200 22633
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:20:38 -0700] "GET /e-Learning-System/registerTrainerByAdmin HTTP/1.1" 200 22633
