0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:18 -0800] "GET /Intern-Tracking//validation/css/cmxformTemplate.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:18 -0800] "GET /Intern-Tracking//validation/css/cmxform.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:18 -0800] "GET /Intern-Tracking//validation/js/jquery-1.11.1.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:19 -0800] "GET /Intern-Tracking//style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:38 -0800] "GET /Intern-Tracking/checkexamresult.action?dataa=&que=32&ua32=a&ua32=d&ca32=Autoboxing%2C&que=33&ua33=b&ca33=102%2C&que=34&ua34=b&ca34=&que=35&ua35=c&ca35= HTTP/1.1" 500 6264
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:42:10 -0800] "GET /Intern-Tracking/checkexamresult.action?dataa=&que=32&ua32=a&ua32=d&ca32=Autoboxing%2C&que=33&ua33=b&ca33=102%2C&que=34&ua34=b&ca34=&que=35&ua35=c&ca35= HTTP/1.1" 500 6264
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:48:46 -0800] "GET /Intern-Tracking//attemptExam.action?exam_id=6 HTTP/1.1" 200 12329
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:48:47 -0800] "GET /Intern-Tracking//style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:48:47 -0800] "GET /Intern-Tracking/struts/xhtml/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:48:47 -0800] "GET /Intern-Tracking//validation/css/reset.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:48:47 -0800] "GET /Intern-Tracking/struts/dojo/struts_dojo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:48:47 -0800] "GET /Intern-Tracking//validation/css/core.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:48:47 -0800] "GET /Intern-Tracking/struts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:48:47 -0800] "GET /Intern-Tracking/struts/ajax/dojoRequire.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:48:47 -0800] "GET /Intern-Tracking//validation/css/cmxformTemplate.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:48:47 -0800] "GET /Intern-Tracking/struts/css_xhtml/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:48:47 -0800] "GET /Intern-Tracking//validation/css/cmxform.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:48:47 -0800] "GET /Intern-Tracking//validation/js/jquery-1.11.1.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:48:47 -0800] "GET /Intern-Tracking//style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:49:03 -0800] "GET /Intern-Tracking/checkexamresult.action?dataa=&que=32&ua32=d&ca32=Autoboxing%2C&que=33&ua33=d&ca33=102%2C&que=34&ua34=d&ca34=&que=35&ua35=b&ca35= HTTP/1.1" 200 279
