0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:49 -0700] "GET /Intern-Tracking//validation/css/reset.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:49 -0700] "GET /Intern-Tracking//validation/css/core.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:49 -0700] "GET /Intern-Tracking//validation/css/cmxformTemplate.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:49 -0700] "GET /Intern-Tracking//ckeditor/samples/css/samples.css HTTP/1.1" 200 67258
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:49 -0700] "GET /Intern-Tracking//validation/css/cmxform.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:49 -0700] "GET /Intern-Tracking//ckeditor/samples/toolbarconfigurator/lib/codemirror/neo.css HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:49 -0700] "GET /Intern-Tracking//ckeditor/ckeditor.js HTTP/1.1" 200 591795
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:49 -0700] "GET /Intern-Tracking//validation/js/jquery-1.11.1.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:50 -0700] "GET /Intern-Tracking//style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:03:06 -0700] "GET /Intern-Tracking//home.jsp HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:03:10 -0700] "GET /Intern-Tracking//LoginProjectManger.jsp HTTP/1.1" 200 3584
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:03:10 -0700] "GET /Intern-Tracking//validation/css/reset.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:03:10 -0700] "GET /Intern-Tracking//validation/css/core.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:03:10 -0700] "GET /Intern-Tracking//validation/css/cmxformTemplate.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:03:10 -0700] "GET /Intern-Tracking//validation/css/cmxform.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:03:10 -0700] "GET /Intern-Tracking//validation/js/jquery-1.11.1.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:03:20 -0700] "GET /Intern-Tracking//aprojectMangerLogin?username=abc123&pass=abc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:03:20 -0700] "GET /Intern-Tracking//myaction2.action HTTP/1.1" 200 15937
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:03:28 -0700] "GET /Intern-Tracking//AllIntern.action HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:03:30 -0700] "GET /Intern-Tracking//RegisterIntern.jsp HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:03:30 -0700] "GET /Intern-Tracking//validation/css/reset.css HTTP/1.1" 404 1033
